Id,SalePrice
1461,122879.62481
1462,158705.04785
1463,166575.28023
1464,183010.49595
1465,242856.65887
1466,175251.30693
1467,179289.48656
1468,165085.55367
1469,184554.44961
1470,115852.37466
1471,162826.02174
1472,93092.60543
1473,91210.306101
1474,143834.189
1475,135103.44194
1476,392155.9492
1477,291089.70326
1478,354864.5855
1479,294713.69886
1480,419725.55475
1481,301502.76397
1482,242404.99257
1483,179213.41639
1484,166811.21244
1485,191113.75107
1486,198944.28383
1487,327670.49935
1488,253848.15317
1489,216880.73593
1490,206032.31454
1491,198663.61984
1492,109842.76823
1493,167798.21874
1494,316963.55907
1495,307914.97046
1496,196484.09454
1497,189754.18447
1498,157722.49903
1499,146246.71466
1500,136605.52612
1501,163786.85561
1502,149174.30578
1503,257360.23947
1504,248419.49878
1505,218490.71001
1506,196405.01824
1507,227264.19267
1508,184270.22675
1509,166978.4759
1510,139088.20054
1511,137569.83105
1512,166741.11354
1513,171521.52559
1514,146543.01016
1515,218116.89685
1516,155106.78553
1517,171196.20454
1518,133914.48325
1519,197939.50878
1520,129330.54172
1521,133489.55381
1522,167083.84147
1523,124400.74633
1524,135270.99641
1525,124569.22084
1526,106478.46568
1527,116334.49059
1528,145115.58977
1529,140743.50276
1530,173936.27992
1531,111370.87204
1532,101184.47003
1533,146253.08196
1534,129782.74737
1535,151817.34863
1536,102141.94958
1537,45970.914659
1538,172351.462
1539,224486.15592
1540,118432.07786
1541,130408.66078
1542,156895.50408
1543,187562.76727
1544,102777.21918
1545,121237.82439
1546,129268.32611
1547,138482.07801
1548,154244.41433
1549,117274.54214
1550,129751.71138
1551,105170.29515
1552,136279.10925
1553,134848.35319
1554,121468.79896
1555,195132.3794
1556,111975.47031
1557,92919.234287
1558,93407.837542
1559,107708.2215
1560,134151.46759
1561,129205.14571
1562,132094.94457
1563,112699.66821
1564,136330.83344
1565,131234.08471
1566,230987.69968
1567,73748.263059
1568,216696.62854
1569,110645.87882
1570,133071.89024
1571,115565.56391
1572,133458.61546
1573,201353.21743
1574,109294.36753
1575,193651.76706
1576,204517.73423
1577,192800.3801
1578,144772.29205
1579,156405.49851
1580,197328.04268
1581,159116.60896
1582,136187.60502
1583,265634.12732
1584,224408.45969
1585,128752.41611
1586,82463.94544
1587,101611.87003
1588,132724.97747
1589,81833.96766
1590,134623.26009
1591,100504.68207
1592,128854.26344
1593,111517.26876
1594,190023.50184
1595,111900.6385
1596,238009.271
1597,193074.86681
1598,242922.86394
1599,183393.40344
1600,185012.08281
1601,65296.027109
1602,98719.011985
1603,90972.595395
1604,245366.2557
1605,234490.02587
1606,171768.25759
1607,185537.71719
1608,213021.84757
1609,217458.52981
1610,177506.75529
1611,145104.79522
1612,176745.43093
1613,168208.88379
1614,96751.726021
1615,88995.547136
1616,76803.912616
