Id,SalePrice
1461,112544.4683
1462,166272.70052
1463,196685.33639
1464,195239.28498
1465,182084.29099
1466,188409.7716
1467,169374.42106
1468,177672.99735
1469,186609.22265
1470,117257.78357
1471,197062.71239
1472,107533.88208
1473,117910.38182
1474,165150.67125
1475,114654.1033
1476,354883.75903
1477,226644.91488
1478,306489.71908
1479,322244.30748
1480,439049.77083
1481,284566.05812
1482,202593.21158
1483,196100.61473
1484,174006.25682
1485,155226.73205
1486,205731.88956
1487,360869.58501
1488,230532.01357
1489,185225.59377
1490,277267.49866
1491,199058.79254
1492,92145.473046
1493,184150.93323
1494,265951.59957
1495,262863.69011
1496,279160.40854
1497,201162.32181
1498,151468.5484
1499,151468.5484
1500,154996.85442
1501,181176.89007
1502,137926.46353
1503,284694.55393
1504,218362.0241
1505,215501.08266
1506,235632.64152
1507,279937.61597
1508,219258.0163
1509,171092.02223
1510,159133.7688
1511,156211.54676
1512,195102.69233
1513,168392.61099
1514,219559.51134
1515,244056.36541
1516,152864.55721
1517,143661.89703
1518,201212.31189
1519,214624.59784
1520,143288.97069
1521,151293.31802
1522,183002.76739
1523,142233.13804
1524,119304.92884
1525,118970.27402
1526,122947.58243
1527,78693.628041
1528,127254.65289
1529,148002.82368
1530,177898.97107
1531,140711.72993
1532,91711.01455
1533,167911.50414
1534,123450.77783
1535,169903.70668
1536,119819.84897
1537,73196.420293
1538,128868.34793
1539,151073.26552
1540,186318.41409
1541,126413.91599
1542,167685.01667
1543,191664.54551
1544,73225.692751
1545,104274.72032
1546,108349.38602
1547,142580.63979
1548,140921.71072
1549,91205.960372
1550,145818.70536
1551,113061.22331
1552,168296.27237
1553,129108.82425
1554,109861.27443
1555,198977.8716
1556,101186.71007
1557,137937.68149
1558,87505.575351
1559,148354.8718
1560,140988.74408
1561,236013.80091
1562,114618.33533
1563,113674.52166
1564,182285.45434
1565,152981.93563
1566,195189.70625
1567,68861.828061
1568,221424.16977
1569,158994.39299
1570,109351.84196
1571,148344.8745
1572,143732.74771
1573,222071.00212
1574,163964.62399
1575,198282.65641
1576,208780.34155
1577,186381.95906
1578,107237.41851
1579,140185.52223
1580,199373.16082
1581,140090.50395
1582,117791.7703
1583,277897.05769
1584,239476.80694
1585,134327.01826
1586,40195.826306
1587,92116.321108
1588,155856.16157
1589,115546.69115
1590,143547.61666
1591,119390.09472
